636718288, 3540, -15, 6546, 49, 21, 25
636728287, 3553, -13, 6578, 49, 23, 20
636738286, 3534, -23, 6564, 43, 23, 15
636748290, 3544, -12, 6585, 48, 23, 18
636758288, 3526, -28, 6551, 45, 22, 14
636768286, 3531, -18, 6563, 46, 22, 15
636778290, 3536, -13, 6544, 45, 23, 15
636788288, 3538, -1, 6563, 46, 24, 18
636798287, 3554, -9, 6556, 48, 18, 21
636808286, 3525, -9, 6560, 45, 24, 18
636818289, 3550, 7, 6553, 51, 29, 15
636828289, 3541, -8, 6546, 45, 22, 13
636838288, 3529, -32, 6554, 48, 22, 17
636848286, 3530, -16, 6563, 43, 24, 19
636858290, 3548, 6, 6563, 39, 26, 19
636868285, 3525, 0, 6550, 43, 31, 18
636878286, 3535, -25, 6574, 46, 26, 15
636888290, 3543, -10, 6568, 48, 23, 20
636898288, 3540, -19, 6567, 50, 23, 21
636908287, 3547, -27, 6564, 49, 31, 18
636918286, 3553, 0, 6562, 45, 21, 16
636928287, 3572, -21, 6554, 47, 21, 19
636938286, 3539, -20, 6573, 43, 20, 19
636948289, 3521, -3, 6585, 41, 22, 15
636958288, 3560, -9, 6546, 49, 27, 24
636968286, 3528, -10, 6557, 48, 22, 24
636978289, 3532, 0, 6586, 44, 21, 22
636988290, 3546, -14, 6555, 43, 21, 18
636998288, 3550, -20, 6564, 45, 23, 13
637008286, 3543, -4, 6572, 46, 20, 19
637018285, 3528, -12, 6567, 48, 22, 13
637028288, 3550, -30, 6531, 51, 22, 20
637038287, 3541, -21, 6572, 46, 22, 20
637048286, 3545, -5, 6540, 44, 22, 16
637058290, 3543, 2, 6538, 41, 23, 17
637068286, 3548, -6, 6569, 49, 21, 23
637078288, 3540, -12, 6551, 50, 26, 16
637088286, 3550, -15, 6562, 47, 24, 15
637098289, 3548, -13, 6550, 49, 19, 20
637108286, 3546, -16, 6561, 42, 22, 20
637118290, 3542, -7, 6550, 42, 21, 19
637128288, 3559, -16, 6550, 48, 18, 17
637138286, 3547, -25, 6556, 47, 28, 11
637148285, 3537, -15, 6578, 51, 23, 15
637158288, 3542, -17, 6560, 47, 27, 16
637168286, 3546, -19, 6572, 45, 26, 16
637178289, 3545, -26, 6538, 45, 30, 16
637188287, 3542, -1, 6562, 48, 24, 18
637198285, 3525, -3, 6556, 49, 21, 18
637208288, 3528, -14, 6557, 44, 24, 15
637218286, 3554, -15, 6565, 48, 23, 22
637228289, 3570, -7, 6550, 50, 27, 25
637238287, 3553, -31, 6574, 48, 28, 14
637248286, 3522, -24, 6541, 45, 22, 17
637258289, 3544, -25, 6558, 46, 22, 21
637268287, 3539, 5, 6549, 48, 24, 24
637278288, 3550, -4, 6556, 48, 24, 21
637288287, 3532, -1, 6574, 45, 18, 17
637298286, 3547, -11, 6539, 47, 21, 16
637308289, 3529, -22, 6556, 46, 23, 13
637318287, 3540, -15, 6578, 51, 23, 21
637328286, 3546, -3, 6551, 46, 25, 20
637338290, 3530, 1, 6559, 40, 21, 16
637348286, 3542, -28, 6546, 44, 22, 20
637358289, 3538, -20, 6537, 45, 23, 21
637368288, 3553, -25, 6551, 42, 25, 12
637378286, 3541, -13, 6569, 49, 26, 17
637388289, 3550, -6, 6555, 55, 27, 16
637398288, 3552, -6, 6552, 52, 25, 16
637408287, 3565, -14, 6546, 53, 25, 20
637418286, 3531, -10, 6534, 48, 30, 19
637428288, 3538, -9, 6552, 44, 23, 23
637438286, 3552, -25, 6576, 41, 25, 18
637448290, 3552, -17, 6567, 44, 22, 17
637458288, 3557, -1, 6557, 48, 19, 18
637468286, 3554, -17, 6542, 50, 24, 19
637478286, 3553, -19, 6545, 47, 27, 19
637488289, 3543, -13, 6545, 46, 20, 16
637498288, 3553, -10, 6565, 52, 23, 20
637508287, 3538, -7, 6560, 52, 25, 18
637518286, 3539, -4, 6544, 47, 19, 14
637528289, 3553, -2, 6568, 44, 22, 18
637538287, 3537, -1, 6543, 42, 21, 20
637548287, 3538, -14, 6553, 45, 24, 15
637558286, 3543, -18, 6555, 57, 20, 15
637568289, 3536, -22, 6555, 50, 25, 21
637578288, 3532, -36, 6554, 48, 26, 18
637588286, 3546, -9, 6557, 44, 26, 18
637598286, 3555, -12, 6562, 45, 20, 18
637608290, 3533, -19, 6551, 47, 25, 15
637618287, 3531, -16, 6577, 49, 27, 14
637628286, 3534, -4, 6548, 51, 21, 21
637638285, 3541, -4, 6535, 51, 19, 21
637648288, 3538, -10, 6556, 48, 27, 22
637658286, 3548, -1, 6565, 42, 23, 19
637668286, 3539, -16, 6562, 44, 25, 17
637678289, 3535, -26, 6561, 45, 24, 21
637688288, 3524, -14, 6560, 45, 21, 19
