430285042, 2, -498, 7877, -333, 167, 76
430295040, 19, -603, 7936, -301, 89, 161
430305044, -22, -727, 7867, -32, 2, 190
430315040, -77, -777, 7820, 141, -9, 132
430325043, -138, -772, 7901, -13, 65, -17
430335044, -101, -681, 8099, -752, 129, -157
430345041, 51, -662, 8254, -1555, 26, -173
430355044, 62, -609, 8135, -1472, -235, -148
430365040, 59, -555, 7770, -966, -446, -88
430375041, 22, -582, 7448, -757, -451, 11
430385040, -12, -689, 7263, -501, -305, 79
430395042, 39, -771, 7193, -127, -119, 105
430405041, 64, -864, 7315, 183, 95, 109
430415042, 33, -911, 7590, 517, 255, 58
430425043, -10, -882, 7783, 763, 293, -35
430435040, 3, -779, 7889, 612, 256, -100
430445040, 20, -698, 7949, 429, 179, -108
430455044, 7, -655, 7913, 482, 90, -87
430465044, -28, -626, 7884, 427, 30, -50
430475041, -51, -649, 7852, 294, -17, -33
430485042, -43, -651, 7799, 241, -63, -55
430495042, -2, -653, 7668, 196, -112, -58
430505044, -47, -646, 7544, 203, -108, -48
430515041, -84, -585, 7483, 256, -39, -59
430525043, -23, -545, 7465, 224, 71, -49
430535040, -21, -549, 7545, 232, 152, 2
430545044, 11, -565, 7684, 212, 187, 46
430555044, -23, -599, 7762, 210, 188, 68
430565043, -29, -630, 7820, 250, 152, 62
430575043, 27, -673, 7861, 143, 103, 82
430585043, -16, -723, 7858, 47, 43, 101
430595042, -133, -738, 7747, 103, -35, 47
430605044, -66, -666, 7576, 11, -11, -42
430615040, -11, -579, 7599, -188, 119, -69
430625042, -1, -523, 7759, 9, 192, -38
430635044, 3, -508, 7899, 256, 179, 20
430645040, -41, -548, 8027, 184, 131, 77
430655044, -41, -584, 8005, 85, 14, 95
430665042, -66, -598, 7877, -7, -89, 104
430675043, -67, -651, 7730, -191, -137, 106
430685043, 20, -686, 7559, -173, -134, 122
430695042, -29, -735, 7519, 107, -49, 115
430705041, -65, -745, 7541, 339, 44, 79
430715043, -48, -701, 7581, 321, 130, 43
430725042, -47, -679, 7670, 198, 167, 28
430735041, -55, -686, 7673, 197, 182, -5
430745040, 5, -656, 7735, 169, 237, -31
430755044, -19, -579, 7904, 175, 279, -43
430765043, -34, -529, 8040, 241, 249, -44
430775040, 32, -512, 8082, 108, 166, 10
430785040, 8, -600, 8073, -76, 48, 97
430795043, 15, -716, 7920, -42, -43, 132
430805041, -56, -741, 7770, 123, -80, 93
430815044, -51, -773, 7691, 199, -83, 39
430825042, -109, -770, 7653, 203, -31, -35
430835043, -89, -687, 7643, 251, 40, -142
430845041, -79, -566, 7713, 324, 107, -190
430855044, -127, -447, 7822, 293, 168, -214
430865043, -87, -354, 7973, 77, 167, -195
430875041, -48, -309, 8029, -90, 103, -118
430885044, -46, -326, 8007, -51, 11, -1
430895044, -90, -417, 7920, 18, -59, 112
430905041, -94, -536, 7828, -50, -83, 166
430915042, -78, -618, 7785, -147, -59, 176
430925044, -145, -646, 7817, -139, -40, 141
430935041, -90, -620, 7761, -112, -67, 81
430945043, -44, -606, 7686, -166, -64, 63
430955043, -63, -612, 7691, -263, -7, 81
430965044, -7, -603, 7758, -241, 27, 93
430975040, -24, -605, 7795, -57, 44, 105
430985044, -47, -605, 7876, 23, 41, 94
430995043, -22, -622, 7904, -88, -2, 95
431005044, -7, -684, 7878, -258, -43, 114
431015044, 17, -716, 7850, -308, -89, 79
431025042, 1, -728, 7761, -224, -116, 43
431035044, -7, -719, 7677, -188, -99, 19
431045040, -9, -703, 7646, -142, -63, 1
431055041, -23, -680, 7619, 1, -14, -15
431065043, 2, -639, 7645, 162, 27, -21
431075042, 12, -612, 7751, 206, 70, -4
431085040, 12, -691, 7900, 97, 30, 17
431095044, -1, -695, 7838, 49, -41, 9
431105042, -71, -712, 7728, -63, -89, -11
431115042, -17, -694, 7594, -138, -93, -45
431125043, -20, -683, 7585, -72, -21, -69
431135042, -65, -619, 7704, 53, 74, -71
431145044, -57, -540, 7826, 149, 110, -67
431155042, -21, -517, 7926, 189, 83, -36
431165040, -21, -582, 7916, 120, -9, 39
431175043, -5, -682, 7831, -35, -99, 92
431185043, -52, -777, 7670, -89, -146, 88
431195044, -126, -798, 7521, -62, -123, 15
431205040, -93, -714, 7460, -63, -41, -80
431215043, -43, -588, 7491, -46, 73, -99
431225040, -43, -534, 7603, 72, 165, -50
431235043, -30, -538, 7745, 183, 199, 15
431245043, -25, -589, 7834, 178, 210, 56
431255042, -17, -622, 7974, 167, 173, 62
431265041, -35, -622, 7926, 147, 76, 66
431275044, -50, -643, 7844, -4, 24, 75
431285042, -33, -615, 7845, -132, 38, 67
431295040, 15, -619, 7869, -71, 54, 66
431305044, -19, -655, 7852, 44, 29, 85
431315042, -28, -693, 7836, 44, 13, 96
431325041, -3, -752, 7815, 68, 4, 89
431335043, -33, -774, 7837, 78, 27, 36
431345043, -19, -745, 7867, 9, 11, -22
431355040, -51, -702, 7828, -81, -9, -60
431365044, -66, -643, 7814, -155, -11, -93
431375043, -20, -563, 7777, -110, -30, -95
431385043, -51, -578, 7728, -3, -43, -10
431395042, -57, -609, 7719, 88, -34, 58
431405040, -54, -579, 7720, 65, -22, 60
431415043, -22, -562, 7729, 14, -1, 54
431425041, 4, -488, 7805, 201, 3, 96
431435040, 8, -466, 7848, 471, -63, 208
431445043, -58, -585, 7759, 451, -111, 327
431455042, 11, -719, 7833, 198, -47, 342
431465043, -103, -846, 7868, 268, -76, 313
431475041, -121, -868, 7773, 207, -108, 163
431485044, -43, -809, 7752, -193, -44, -5
431495044, -83, -720, 7806, -383, 6, -108
431505044, -26, -582, 7768, -245, -5, -164
431515043, -59, -525, 7701, -157, 2, -140
431525040, -28, -552, 7703, -159, 43, -67
431535042, -25, -587, 7747, -180, 106, 2
431545041, -13, -684, 7909, -282, 144, 40
431555043, 18, -748, 7976, -392, 72, 24
431565042, -6, -740, 7895, -282, -17, -33
431575041, 46, -688, 7861, -166, -45, -80
431585043, -28, -634, 7935, -189, -29, -87
431595043, -45, -555, 7929, -253, -96, -57
431605044, 111, -597, 7747, -257, -167, 17
431615042, -39, -623, 7686, -149, -171, 90
431625043, -48, -646, 7626, -224, -156, 133
431635044, 19, -756, 7586, -354, -106, 168
431645044, -8, -849, 7554, -148, -78, 157
431655041, -3, -906, 7552, -102, -35, 112
431665043, 6, -958, 7577, -243, 27, 58
431675042, 33, -944, 7601, -109, 56, -27
431685043, -3, -854, 7632, 85, 101, -108
431695041, -35, -758, 7761, 132, 132, -134
431705040, 22, -649, 7860, 204, 127, -149
431715044, 20, -559, 7919, 238, 78, -109
431725044, -10, -545, 7892, 111, -8, -19
431735044, 19, -630, 7808, -133, -74, 64
431745042, 15, -715, 7713, -186, -129, 105
431755044, -35, -764, 7559, -105, -145, 118
431765042, -66, -788, 7509, -187, -71, 94
