0.2304, 0.0526, 0.8934, 1.4420, 8.9799, 4.1276
0.2403, 0.0479, 0.9013, 1.0453, 4.0055, 2.7390
0.2408, 0.0488, 0.9226, -0.0229, -0.7858, 3.0442
0.2797, 0.0480, 0.9365, -0.8011, -4.7379, 3.9597
0.2797, 0.0480, 0.9365, -0.8011, -4.7379, 3.9597
0.3187, 0.0381, 0.9099, 4.7532, -6.5385, 2.3880
0.3268, 0.0408, 0.8746, 8.2475, -5.6992, 0.6790
0.3266, 0.0341, 0.8626, 4.5548, -3.8376, -0.3128
0.3266, 0.0341, 0.8626, 4.5548, -3.8376, -0.3128
0.3279, 0.0275, 0.8670, 1.0453, -2.0371, -0.9995
0.3163, 0.0263, 0.8747, -1.1063, -1.1673, -2.6779
0.2955, 0.0323, 0.8790, 0.2975, -1.6098, -4.4480
0.2955, 0.0323, 0.8790, 0.2975, -1.6098, -4.4480
0.2737, 0.0269, 0.8933, 0.8163, -3.0900, -5.1194
0.2629, 0.0341, 0.9093, -0.9384, -5.1042, -4.3564
0.2548, 0.0438, 0.9006, 2.1134, -6.6453, -3.8224
0.2548, 0.0438, 0.9006, 2.1134, -6.6453, -3.8224
0.2463, 0.0418, 0.8935, 4.6769, -5.3178, -2.8611
0.2618, 0.0427, 0.8881, 6.7674, -2.9526, -1.5488
0.2762, 0.0425, 0.8796, 6.7826, -0.5112, -1.3199
0.2762, 0.0425, 0.8796, 6.7826, -0.5112, -1.3199
0.2689, 0.0510, 0.8723, 5.9434, 0.9995, -2.5711
0.2503, 0.0539, 0.8737, 5.6077, 1.7166, -2.6474
0.2529, 0.0412, 0.9075, 0.6790, 0.6943, -1.7014
0.2529, 0.0412, 0.9075, 0.6790, 0.6943, -1.7014
0.2604, 0.0466, 0.9267, 0.5264, -2.4491, -1.2436
0.2635, 0.0512, 0.9089, 4.7837, -5.1499, -1.6709
0.2444, 0.0580, 0.8902, 5.8518, -4.2039, -0.4349
0.2444, 0.0580, 0.8902, 5.8518, -4.2039, -0.4349
0.2377, 0.0565, 0.8890, 6.0044, -0.4501, 1.3199
0.2453, 0.0569, 0.8869, 8.2170, 3.8834, 2.8611
0.2632, 0.0627, 0.8785, 8.0644, 6.6911, 3.9445
0.2632, 0.0627, 0.8785, 8.0644, 6.6911, 3.9445
0.2860, 0.0624, 0.8822, 3.5935, 6.4164, 3.8529
0.2908, 0.0618, 0.8807, 2.6932, 1.9303, 2.2507
0.2791, 0.0573, 0.8603, 2.8763, -2.7085, 1.5793
0.2791, 0.0573, 0.8603, 2.8763, -2.7085, 1.5793
0.2299, 0.0537, 0.8577, 2.2965, -3.6698, 2.7542
0.0718, 0.0418, 0.8869, -0.0076, -7.0421, 10.6584
-0.2796, -0.8253, 0.9191, 5.1957, -14.8089, 20.6226
-0.2796, -0.8253, 0.9191, 5.1957, -14.8089, 20.6226
0.5259, -0.0617, 0.5433, -86.3127, 0.9079, 36.5377
0.8963, 0.1846, 0.9860, -136.7132, 5.6840, 46.4409
0.2690, 0.1165, 1.2091, -49.1570, -8.7510, 8.0949
0.3399, 0.0637, 0.9707, 3.5325, -23.1403, -3.5630
0.3399, 0.0637, 0.9707, 3.5325, -23.1403, -3.5630
0.4283, 0.1214, 1.0772, 36.8276, -21.9501, -13.3593
0.4741, 0.0674, 0.8752, 76.8826, -19.2187, -29.3202
0.3828, -0.0986, 0.5397, 46.4409, -5.3483, -39.7116
0.1719, -0.0859, 0.8768, -21.5992, 18.9136, -28.1605
0.1719, -0.0859, 0.8768, -21.5992, 18.9136, -28.1605
0.2663, 0.0568, 1.0445, -13.9239, 25.1392, -5.8061
0.2941, 0.0746, 0.8995, 21.6754, 17.4334, -8.8578
0.2252, 0.0350, 0.7949, 24.4526, 9.3156, -14.6868
